Task_ID,Priority,Wait_Time,Execution_Time,Created,Started,Ended
2,hi,0.0307,0.4015,12:31:21.505412,12:31:21.536102,12:31:21.937612
4,hi,0.0797,0.3105,12:31:21.567366,12:31:21.647063,12:31:21.957612
1,hi,0.0010,0.5282,12:31:21.504414,12:31:21.505412,12:31:22.033643
3,hi,0.0943,0.4187,12:31:21.520684,12:31:21.614976,12:31:22.033643
5,hi,0.4187,0.4704,12:31:21.614976,12:31:22.033643,12:31:22.504037
7,med,0.3236,0.5265,12:31:21.710068,12:31:22.033643,12:31:22.560107
8,med,0.2499,0.5549,12:31:21.817095,12:31:22.066966,12:31:22.621894
6,med,0.3546,0.5993,12:31:21.679065,12:31:22.033643,12:31:22.632910
9,med,0.6399,0.4859,12:31:21.864095,12:31:22.504037,12:31:22.989943
10,med,0.6650,0.4655,12:31:21.895095,12:31:22.560107,12:31:23.025648
11,med,0.6338,0.4488,12:31:21.988611,12:31:22.622398,12:31:23.071183
12,med,0.5993,0.4448,12:31:22.033643,12:31:22.632910,12:31:23.077743
14,lo,0.9275,0.2031,12:31:22.098176,12:31:23.025648,12:31:23.228755
15,lo,0.9415,0.2018,12:31:22.129690,12:31:23.071183,12:31:23.273016
16,lo,0.9169,0.2027,12:31:22.160799,12:31:23.077743,12:31:23.280416
17,lo,1.0364,0.2015,12:31:22.192906,12:31:23.229354,12:31:23.430903
18,lo,1.0480,0.2021,12:31:22.225003,12:31:23.273016,12:31:23.475127
19,lo,1.0244,0.2012,12:31:22.256008,12:31:23.280416,12:31:23.481636
13,med,0.9563,0.5225,12:31:22.033643,12:31:22.989943,12:31:23.512456
20,lo,1.1439,0.2022,12:31:22.287003,12:31:23.430903,12:31:23.633121
